

=== TOP 60 BY CUMULATIVE ===
         8044788 function calls (8044532 primitive calls) in 9.616 seconds

   Ordered by: cumulative time
   List reduced from 480 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    49531    0.026    0.000    0.118    0.000 {method 'any' of 'numpy.ndarray' objects}
      470    0.013    0.000    0.112    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:489(gen_neighbour_carsModel)
      269    0.071    0.000    0.111    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:617(calc_predicted_profit_segments_production)
      200    0.071    0.000    0.109    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:748(filter_vehicle_dict_for_switchers)
    12817    0.040    0.000    0.109    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:115(_mean)




=== TOP 60 BY SELF TIME ===
         8044788 function calls (8044532 primitive calls) in 9.616 seconds

   Ordered by: internal time
   List reduced from 480 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    49519    1.195    0.000    2.074    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:553(user_chooses)
      201    0.546    0.003    0.546    0.003 {method 'dot' of 'numpy.ndarray' objects}
      200    0.488    0.002    3.705    0.019 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:270(update_VehicleUsers)
      200    0.415    0.002    0.558    0.003 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firmManager.py:291(update_market_data_moving_average)
        1    0.405    0.405    0.464    0.464 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:129(set_init_cars_selection)
      200    0.391    0.002    0.706    0.004 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firmManager.py:262(update_W_immediate)
      200    0.342    0.002    0.418    0.002 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:517(masking_options)
   165509    0.307    0.000    0.307    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   634496    0.307    0.000    0.307    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firmManager.py:176(calc_exp)
      186    0.234    0.001    0.477    0.003 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/secondHandMerchant.py:178(update_stock_contents)
      547    0.226    0.000    0.350    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:266(calc_utility_cars_segments)
     6416    0.216    0.000    0.384    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:686(set_utility_and_profit_grid_production)
  1201695    0.205    0.000    0.205    0.000 {method 'get' of 'dict' objects}
       75    0.201    0.003    0.287    0.004 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/networkx/classes/graph.py:986(add_edges_from)
   600200    0.178    0.000    0.178    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:1343(<genexpr>)
      278    0.172    0.001    0.283    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:375(calc_predicted_profit_segments_research)
      186    0.168    0.001    0.168    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:867(vectorised_calculate_utility_second_hand_cars)
  1178890    0.154    0.000    0.154    0.000 {method 'append' of 'list' objects}
    32879    0.140    0.000    0.140    0.000 {built-in method numpy.array}
        1    0.136    0.136    0.297    0.297 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/networkx/convert_matrix.py:881(to_numpy_array)
      547    0.130    0.000    0.179    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:204(calc_optimal_price_cars)
      200    0.128    0.001    0.128    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:1370(update_prices_and_emissions_intensity)
      269    0.122    0.000    0.541    0.002 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:750(select_car_lambda_production)
     6963    0.101    0.000    0.101    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:255(calc_utility)
   600000    0.091    0.000    0.091    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/personalCar.py:79(update_timer_L_a_t)
      203    0.084    0.000    0.267    0.001 {built-in method builtins.sum}
    49519    0.081    0.000    0.081    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:687(_update_cv_cache_row)
    50264    0.078    0.000    0.193    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:86(_wrapreduction_any_all)
      200    0.072    0.000    0.072    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:884(vectorised_calculate_utility_new_cars)
      269    0.071    0.000    0.111    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:617(calc_predicted_profit_segments_production)
      200    0.071    0.000    0.109    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:748(filter_vehicle_dict_for_switchers)
      200    0.070    0.000    0.078    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:426(calc_offer_prices_heursitic)
      201    0.069    0.000    0.639    0.003 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:245(calculate_ev_adoption)
    52273    0.067    0.000    0.183    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:66(_wrapreduction)
      186    0.065    0.000    0.122    0.001 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/secondHandMerchant.py:55(gen_vehicle_dict_vecs_second_hand)
      186    0.063    0.000    0.072    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/secondHandMerchant.py:123(calc_car_price_heuristic)
